combo_key,members_names,members_families,members_run_dirs,n_models,acc_Luke,acc_Marco,acc_Falah,avg_acc,min_acc,std_acc
~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,2,0.9843627834245504,0.7633333333333333,0.95,0.8992320389192946,0.7633333333333333,0.09711348638277272
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/ResNet101/7e613879ca,ResNet101 + MobileNetV2,ResNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/ResNet101/7e613879ca | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.986708365910868,0.7608333333333334,0.97109375,0.9062118164147338,0.7608333333333334,0.10299557131190237
~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec||~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,EffNetB0 + MobileNetV2,EffNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.982017200938233,0.7608333333333334,0.95546875,0.8994397614238555,0.7608333333333334,0.09860700276963004
~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,EffNetB0 + MobileNetV2,EffNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.9796716184519156,0.7533333333333333,0.96171875,0.8982412339284164,0.7533333333333333,0.1027271502981524
~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.9851446442533228,0.7533333333333333,0.94140625,0.8932947425288854,0.7533333333333333,0.10056559660562636
~/Alzheimers/Results/ArchSweep/EffNetB0/47c212dcbf||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,EffNetB0 + MobileNetV2,EffNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/EffNetB0/47c212dcbf | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.9757623143080532,0.7483333333333333,0.95390625,0.8926672992137954,0.7483333333333333,0.10244882353919038
~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,DenseNet201 + MobileNetV2,DenseNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.9898358092259578,0.7458333333333333,0.97734375,0.9043376308530972,0.7458333333333333,0.11219543108671741
~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120||~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61,ResNet101 + MobileNetV2,ResNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.9859265050820952,0.745,0.9625,0.8978088350273651,0.745,0.1084745909784275
~/Alzheimers/Results/ArchSweep/EffNetB0/47c212dcbf||~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972,InceptionV3 + EffNetB0,Inception + EffNet,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/EffNetB0/47c212dcbf,2,0.9562157935887412,0.745,0.96171875,0.8876448478629136,0.745,0.10089015511499427
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.982017200938233,0.7441666666666666,0.92578125,0.8839883725349665,0.7441666666666666,0.10149943388486743
~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120||~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050,ResNeXt50_32x4d + MobileNetV2,ResNeXt + MobileNetV2,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.9859265050820952,0.74,0.97890625,0.9016109183606984,0.74,0.11431210987291378
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,2,0.9906176700547302,0.735,0.9546875,0.89343505668491,0.735,0.11298670915968675
~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.983580922595778,0.7316666666666667,0.94296875,0.8860721130874816,0.7316666666666667,0.11043284099109187
~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.9874902267396404,0.7266666666666667,0.9265625,0.8802397978021025,0.7266666666666667,0.1114048979368243
~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec||~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972,InceptionV3 + EffNetB0,Inception + EffNet,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec,2,0.9726348709929632,0.7225,0.95859375,0.8845762069976545,0.7225,0.11474845220668452
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.983580922595778,0.7208333333333333,0.95078125,0.8850651686430372,0.7208333333333333,0.11689889200356808
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050,ResNeXt50_32x4d + MobileNetV2,ResNeXt + MobileNetV2,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.9859265050820952,0.72,0.98359375,0.8965067516940316,0.72,0.12481275437430851
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61,ResNet101 + MobileNetV2,ResNet + MobileNetV2,~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.9859265050820952,0.7175,0.9640625,0.8891630016940318,0.7175,0.12171181342967857
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.9601250977326036,0.71,0.94296875,0.8710312825775345,0.71,0.11408152214770172
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,2,0.9648162627052383,0.695,0.9375,0.8657720875684127,0.695,0.12126795116985262
~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.9827990617670056,0.6825,0.925,0.8634330205890018,0.6825,0.13009676229607373
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.941360437842064,0.6725,0.93203125,0.8486305626140213,0.6725,0.12460133694172225
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.655199374511337,0.6475,0.7953125,0.6993372915037791,0.6475,0.0679374740791672
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,2,0.9757623143080532,0.6458333333333334,0.95078125,0.8574589658804621,0.6458333333333334,0.14998904328143453
~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,MobileNetV2 + MobileNetV3_L,MobileNetV2 + MobileNetV3,~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146 | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.9882720875684128,0.6416666666666667,0.9265625,0.8521670847450263,0.6416666666666667,0.15096321363793475
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.5981235340109461,0.6975,0.746875,0.6808328446703152,0.5981235340109461,0.06186057014804093
~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f||~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,DenseNet201 + InceptionV3,DenseNet + Inception,~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f | ~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,2,0.5918686473807663,0.6575,0.603125,0.6174978824602554,0.5918686473807663,0.028656627206980544
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,2,0.5699765441751369,0.6583333333333333,0.66875,0.6323532925028233,0.5699765441751369,0.04431155443796247
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,2,0.6755277560594214,0.5675,0.7375,0.6601759186864739,0.5675,0.07024603990282573
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,2,0.6598905394839718,0.5408333333333334,0.72578125,0.642168374272435,0.5408333333333334,0.07653752597984782
~/Alzheimers/Results/ArchSweep/EffNetB0/2be00a0fdf||~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a,InceptionV3 + EffNetB0,Inception + EffNet,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/EffNetB0/2be00a0fdf,2,0.5394839718530101,0.505,0.56484375,0.5364425739510034,0.505,0.024525580922978803
~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972 | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.965598123534011,0.4883333333333333,0.95234375,0.8020917356224482,0.4883333333333333,0.2219266708618086
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,2,0.6465989053948398,0.4883333333333333,0.66875,0.601227412909391,0.4883333333333333,0.08033875217081575
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.5738858483189992,0.4758333333333333,0.62109375,0.5569376438841108,0.4758333333333333,0.060501120583112536
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.4745895230648944,0.5458333333333333,0.57734375,0.5325888687994093,0.4745895230648944,0.04298193162132648
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,InceptionV3 + MobileNetV2,Inception + MobileNetV2,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2,0.5770132916340891,0.4441666666666666,0.60390625,0.5416954027669186,0.4441666666666666,0.06983169565176975
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,2,0.4996090695856137,0.4416666666666666,0.46484375,0.46870649541742676,0.4416666666666666,0.023812057388716477
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,2,0.6481626270523847,0.4175,0.64609375,0.5705854590174616,0.4175,0.10825106122652918
~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f||~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a,DenseNet201 + InceptionV3,DenseNet + Inception,~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f | ~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a,2,0.4136043784206411,0.8866666666666667,0.51796875,0.6060799316957692,0.4136043784206411,0.20292801251512832
~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec||~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a,InceptionV3 + EffNetB0,Inception + EffNet,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec,2,0.5019546520719312,0.3858333333333333,0.4265625,0.43811682846842154,0.3858333333333333,0.048105211402819245
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,InceptionV3 + MobileNetV3_L,Inception + MobileNetV3,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,2,0.5785770132916341,0.385,0.52578125,0.49645275443054465,0.385,0.08170326598124476
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,DenseNet161 + InceptionV3,DenseNet + Inception,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33 | ~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,2,0.382329945269742,0.3908333333333333,0.43046875,0.4012106762010251,0.382329945269742,0.02097781469330084
~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a||~/Alzheimers/Results/ArchSweep/VGG16/438cb55e58,InceptionV3 + VGG16,Inception + VGG,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a | ~/Alzheimers/Results/ArchSweep/VGG16/438cb55e58,2,0.3541829554339327,0.4658333333333333,0.365625,0.395213762922422,0.3541829554339327,0.05015358338629597
~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a||~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050,InceptionV3 + ResNeXt50_32x4d,Inception + ResNeXt,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050,2,0.4761532447224394,0.3516666666666667,0.49140625,0.4397420537963687,0.3516666666666667,0.06258923712606655
~/Alzheimers/Results/ArchSweep/EffNetB0/2be00a0fdf||~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,InceptionV3 + EffNetB0,Inception + EffNet,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a | ~/Alzheimers/Results/ArchSweep/EffNetB0/2be00a0fdf,2,0.6356528537920251,0.3475,0.646875,0.5433426179306751,0.3475,0.13855740661024118
~/Alzheimers/Results/ArchSweep/DenseNet201/c831e5b896||~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,DenseNet201 + InceptionV3,DenseNet + Inception,~/Alzheimers/Results/ArchSweep/DenseNet201/c831e5b896 | ~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,2,0.4284597341673182,0.3333333333333333,0.41953125,0.3937747725002172,0.3333333333333333,0.042893706871790296
